,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
87,"Alone, Pt. II","Alan Walker",26096,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
88,"Így hagysz el","ByeAlex és a Slepp",25841,https://open.spotify.com/track/4FKC5sLNhKntZHZNxyHO5t
89,"A holnap küszöbén","Follow The Flow",25732,https://open.spotify.com/track/3oCLp8UO1RdZC4EYxgVu3v
90,"Boss Bitch","Doja Cat",25468,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
91,Titanic,"Juice WRLD",25314,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
92,"Anyám mondta","Follow The Flow",25246,https://open.spotify.com/track/5kIT2DgxvQy8N0vbyws0Cm
93,"High Hopes","Panic! At The Disco",25089,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
94,"Don't Call Me Up",Mabel,25076,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
95,"I Don't Care (with Justin Bieber)","Ed Sheeran",25060,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
96,"Play Date","Melanie Martinez",24980,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
97,Believer,"Imagine Dragons",24534,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,Youngblood,"5 Seconds of Summer",24387,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
99,"Adore You","Harry Styles",24207,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
100,"Past Life (with Selena Gomez)","Trevor Daniel",24166,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
101,"Blood On My Jeans","Juice WRLD",24136,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
102,"hot girl bummer",blackbear,24012,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
103,"Beautiful People (feat. Khalid)","Ed Sheeran",23993,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
104,"In My Mind",Dynoro,23936,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
105,Shallow,"Lady Gaga",23839,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
106,Uh,"T. Danny",23727,https://open.spotify.com/track/4Ar6Yk5H2W3Ai8NcsWakSl
107,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",23395,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
108,Robbery,"Juice WRLD",23360,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
109,"Higher Love",Kygo,23289,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
110,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",23218,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
111,"Bad Energy","Juice WRLD",23212,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
112,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",23184,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
113,"you broke me first","Tate McRae",23087,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
114,"Turn Me On (feat. Vula)",Riton,22977,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
115,"Vegyetek jót ha tudtok",Nks,22558,https://open.spotify.com/track/3LnnQ6LxcWosjweeJ3Emzs
116,"Mennyország Tourist",Tankcsapda,22369,https://open.spotify.com/track/1Hmqe1oW9VVr5TKCoA5Hyl
117,"Fighting Demons","Juice WRLD",22318,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
118,"Old Town Road - Remix","Lil Nas X",22300,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
119,"Rapper leszek én",Pamkutya,22277,https://open.spotify.com/track/67OdddbaHnBOYYhbyNM9PE
120,Ransom,"Lil Tecca",22209,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
121,Meztelen,Majka,22130,https://open.spotify.com/track/2dsbdPTyFRLJzJsgv8RISq
122,"everything i wanted","Billie Eilish",22115,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
123,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",21848,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
124,Takeaway,"The Chainsmokers",21464,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
125,Ritual,Tiësto,21462,https://open.spotify.com/track/0FEk8LwY8h4rAR63ggfhV0
126,"Close Your Eyes","Felix Jaehn",21424,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
127,"On My Mind",Diplo,21413,https://open.spotify.com/track/5hmcw6bW5V24CvJqsz87We
128,"rockstar (feat. 21 Savage)","Post Malone",21334,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
129,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",21325,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
130,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",21129,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
131,Porszem,"Follow The Flow",21104,https://open.spotify.com/track/18kGgBe6Huodd1J2SxYkAh
132,"lovely (with Khalid)","Billie Eilish",21083,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
133,Stars,VIZE,21030,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
134,"Rescue Me",OneRepublic,20982,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
135,"GO (feat. Juice WRLD)","The Kid LAROI",20981,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
136,"Stay High","Juice WRLD",20885,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
137,SAD!,XXXTENTACION,20825,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
138,"Post Malone (feat. RANI)","Sam Feldt",20737,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
139,Lalala,Y2K,20674,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
140,Dior,"Pop Smoke",20533,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
141,"Mindenki táncol /90'/",Majka,20356,https://open.spotify.com/track/75JtuuAnLKjLu8FyEMIzRe
142,"Losing It",FISHER,20223,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
143,"Without Me",Eminem,20164,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
