,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,כפיות,"Eden Hason",34611,https://open.spotify.com/track/02hXZxgl6XwtAdK9y2sb6B
79,"bad guy","Billie Eilish",34516,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
80,"המזרח התיכון","Ivri Lider",34207,https://open.spotify.com/track/1aePnUSba3582jOqYzGXHH
81,"ניצחת איתי הכל לייב","Ishay Ribo",33669,https://open.spotify.com/track/6gMor38fgBdx5EZYV3MJno
82,"SICKO MODE","Travis Scott",33393,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
83,"Before You Go","Lewis Capaldi",33158,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
84,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",32808,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
85,Righteous,"Juice WRLD",32762,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
86,"שמישהו יעצור אותי","Eden Hason",32661,https://open.spotify.com/track/0KpRklQy5rorqtOWeip9E0
87,"Beautiful People (feat. Khalid)","Ed Sheeran",32520,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
88,"Kings & Queens","Ava Max",32380,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
89,"Sunday Best",Surfaces,32246,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
90,טמפרטורה,"Omer Adam",32241,https://open.spotify.com/track/1YBHjsD9R7kEgGnXBlONjy
91,בלילות,"Rotem Cohen",32238,https://open.spotify.com/track/04fay70EbEGuUNBjnUgaU8
92,"שני משוגעים","Omer Adam",32183,https://open.spotify.com/track/09MtNaY1DcRqBumCkIRVND
93,"במקום הכי רחוק","Benaia Barabi",31989,https://open.spotify.com/track/3w47cRrnouD1Yod5dyBppG
94,"HIGHEST IN THE ROOM","Travis Scott",31922,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
95,"תתארו לכם","Shlomo Artzi",31509,https://open.spotify.com/track/0CgiwDmWBRlmD4wYXBsQ5I
96,"I Don't Care (with Justin Bieber)","Ed Sheeran",31460,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
97,צבעים,"Gil Vain",31287,https://open.spotify.com/track/0I6rh1Fz1zmJZARsxyo7v6
98,"יום הולדת",Eliad,31136,https://open.spotify.com/track/56YfxWKh3ZOkvRtHWBss98
99,"כשנגמרת הסופה","Eden Hason",31098,https://open.spotify.com/track/0cOboDrs3BuNLNh1sAbNEP
100,"As a Stone","Full Trunk",31085,https://open.spotify.com/track/0odehEKB3SeuY8NIm9kBT4
101,"באתי לחלום","Nathan Goshen",30963,https://open.spotify.com/track/7ixswgjjsrZgnaABYd3E1C
102,"קחי את הפחדים","Benaia Barabi",30307,https://open.spotify.com/track/32wnbsKKfvwwfMKHtlNx6k
103,Falling,"Trevor Daniel",29948,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
