,SongID,Peak Position,Performer,Song,spotify_genre,spotify_track_id,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
12104,Love Ain'tEli Young Band,50,Eli Young Band,Love Ain't,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'texas country']",6uVzeU47Qzg0rrMneP5BNg,74.0,0.6,0.851,11.0,-4.645,1.0,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,4.0
12341,Love SomeoneBrett Eldredge,52,Brett Eldredge,Love Someone,"['contemporary country', 'country', 'country road', 'modern country rock']",43CFDpciGFDm226POTLEXU,69.0,0.423,0.813,9.0,-5.011,1.0,0.0507,0.218,1.62e-06,0.0732,0.42100000000000004,173.995,4.0
12501,Lucid DreamsJuice WRLD,2,Juice WRLD,Lucid Dreams,"['chicago rap', 'melodic rap']",285pBltuF7vW8TeWk8hdRR,94.0,0.511,0.5660000000000001,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,4.0
12550,ME!Taylor Swift Featuring Brendon Urie,2,Taylor Swift Featuring Brendon Urie,ME!,"['pop', 'post-teen pop']",2Rk4JlNc2TPmZe2af99d45,86.0,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.11800000000000001,0.728,182.162,4.0
12981,Middle ChildJ. Cole,4,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",2JvzF1RMd7lE3KmFlsyZD8,87.0,0.8370000000000001,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.46299999999999997,123.984,4.0
13081,Miss Me MoreKelsea Ballerini,47,Kelsea Ballerini,Miss Me More,"['contemporary country', 'pop']",5NfJGBAL9mgFPRQxKJmiX2,70.0,0.643,0.72,2.0,-7.146,1.0,0.0527,0.013999999999999999,0.0,0.0834,0.491,96.02799999999999,4.0
13275,Mother's DaughterMiley Cyrus,54,Miley Cyrus,Mother's Daughter,"['dance pop', 'pop', 'post-teen pop']",2WyRfGeHo97VC5mP1BBSzr,80.0,0.6809999999999999,0.865,1.0,-4.132,0.0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4.0
13946,NightmareHalsey,15,Halsey,Nightmare,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",340UVheS8z3ncW9TTUhAbc,79.0,0.611,0.622,9.0,-5.075,0.0,0.0734,0.0188,0.0,0.359,0.5379999999999999,146.11,4.0
13998,No GuidanceChris Brown Featuring Drake,5,Chris Brown Featuring Drake,No Guidance,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",6XHVuErjQ4XNm6nDPVCxVX,87.0,0.698,0.45399999999999996,1.0,-6.756,0.0,0.151,0.12300000000000001,0.0,0.155,0.13699999999999998,92.932,4.0
14622,Only HumanJonas Brothers,18,Jonas Brothers,Only Human,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",0DiDStADDVh3SvAsoJAFMk,88.0,0.795,0.496,0.0,-5.882999999999999,1.0,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,4.0
