,Genre,count
672,australian electropop,12
673, seattle indie,30
674,yacht rock,18
675,jazz trumpet,4
676,canadian country,24
677,tropical house,2
678, uk contemporary r&b,6
679, modern blues rock,19
680, jazz guitar,19
681, punk,45
682, uk post-punk,12
683,ccm,19
684, jump blues,26
685, space age pop,18
686, jazz orchestra,2
687,rap kreyol,8
688, teen pop,12
689, grupera,10
690, latin arena pop,11
691, brostep,7
692, catstep,2
693, electra,2
694, memphis blues,18
695,social media pop,14
696,"""australian childrens music""",2
697, south african rock,8
698,garage rock,20
699,country dawn,3
700, deep contemporary country,2
701,australian singer-songwriter,2
702, harlem hip hop,18
703,truck-driving country,6
704,psychedelic blues-rock,1
705,deep southern soul,10
706,urban contemporary,4
707,british blues,19
708,freakbeat,4
709,romantico,1
710,bass trip,1
711, prog quebec,1
712,soul blues,4
713,outlaw country,24
714, melbourne bounce international,3
715,vintage hollywood,5
716,a cappella,36
717, hammond organ,14
718,celtic rock,12
719,background music,6
720, gospel r&b,7
721,french pop,1
722, operatic pop,5
723,classic swedish pop,6
724,latin christian,3
725, mariachi cristiano,3
726, electroclash,17
727, classic australian country,4
728,honky tonk,9
729,audiophile vocal,5
730,comedy,10
731, gbvfi,2
732, lo-fi,17
733, turntablism,47
734,cowpunk,7
735,boston hip hop,3
736,hardcore techno,3
737,traditional scottish folk,2
738,bass trap,11
739, electronic trap,14
740, vapor twitch,4
741, vapor trap,19
742, country rap,4
743,classic schlager,5
744, schlager,3
745, volksmusik,2
746, canadian blues,4
747, french pop,5
748,halloween,1
749, philly indie,10
750, modern salsa,7
751, salsa,8
752, modern blues,41
753, texas blues,14
754,indie anthem-folk,4
755,birmingham hip hop,1
756, grime,3
757, uk garage,2
758,deep motown,11
759, stride,3
760, ska,12
761, ska revival,7
762, italo dance,2
763, socal pop punk,19
764,alternative pop,14
765, boston rock,6
766, ecuadorian pop,4
767, latin viral pop,7
768, pop reggaeton,4
769, big beat,4
770,italian disco,5
771, harmonica blues,15
772,sunshine pop,19
773, melodic hard rock,3
774, washington indie,4
775, honky tonk,23
776, bedroom pop,1
777, bedroom soul,1
778, indie r&b,16
779, vogue,3
780,alabama metal,1
781, alternative metal,2
782, deep ccm,1
783,electronica,2
784, trip hop,14
785, sacramento indie,6
786,new jack smooth,2
787,folk metal,2
788, german metal,8
789, german rock,11
790, medieval folk,3
791, medieval rock,2
792, neue deutsche harte,2
793,balkan brass,1
794, danish electronic,10
795, traprun,10
796,australian hip hop,7
797,britpop,16
798,meme rap,4
799,cantautor,2
800, spanish new wave,1
801, spanish pop,2
802, chillwave,11
803, k-pop girl group,3
804,soul jazz,15
805, lds youth,5
806, chamber psych,5
807, calming instrumental,4
808,traditional country,9
809, bubblegum dance,6
810, psychedelic blues-rock,5
811, adult standards,7
812, uk funky,6
813,classical,1
814, classical performance,3
815, orchestra,1
816,acoustic blues,3
817, swamp blues,6
818, steampunk,5
819, roots americana,3
820,christian hip hop,7
821, christian trap,7
822,uk reggae,5
823, slow core,4
824,country pop,6
825,christian relaxative,4
826,philly rap,4
827,australian indie,2
828,native american spiritual,1
829, drum and bass,2
830,disney,10
831,garage pop,3
832,turntablism,1
833, scorecore,2
834, soundtrack,2
835,screamo,1
836, skramz,1
837, cello,1
838, power metal,3
839, screamo,7
840, wu fam,7
841, boom bap,4
842, piano cover,1
843, complextro,6
844, cedm,4
845, christian pop,8
846,bubble trance,3
847, hamburg electronic,1
848, hands up,1
849,southern rock,3
850,vocal jazz,22
851,latin hip hop,1
852, mexican hip hop,1
853,vapor trap,1
854,argentine rock,1
855, cantautor,1
856, folklore argentino,1
857, nueva cancion,1
858, rock nacional,1
859, trova,1
860,israeli pop,1
861,wu fam,2
862,industrial,1
863,neo-singer-songwriter,4
864, modern southern rock,2
865, latin afrobeat,3
866,oi,1
867,cancion melodica,1
868,deep house,1
869, tribal house,2
870,bedroom pop,2
871, groove metal,12
872, hyperpop,3
873, bboy,1
874, italian pop,5
875, pinoy indie,3
876, neo-singer-songwriter,3
877, australian hip hop,2
878,san diego rap,1
879,belgian dance,2
880, belgian pop,2
881, deep big room,4
882, dutch house,4
883, modern uplift,3
884, new jersey indie,4
885, atl hip hop,9
886, trap soul,8
887, texas pop punk,4
888, hopebeat,8
889,dark techno,1
890, french techno,1
891, industrial techno,1
892, minimal dub,1
893, downtempo,5
894, nu jazz,6
895, deep ragga,1
896, german hard rock,7
897,deep latin christian,2
898,canadian pop punk,6
899, canadian punk,7
900, dayton indie,1
901, noise pop,10
902,contemporary gospel,6
903, gospel,4
904,bahamian pop,7
905, deep disco,7
906, deep euro house,1
907, german dance,1
908,skiffle,1
909, detroit hip hop,11
910,modern blues,1
911, jazz trombone,2
912, san diego rap,3
913, contemporary vocal jazz,3
914, experimental rock,12
915, okc indie,1
916, cowpunk,4
917,scorecore,3
918,shamanic,1
919,detroit trap,1
920,modern uplift,4
921,show tunes,3
922,enka,3
923, japanese city pop,2
924,harlem hip hop,9
925, new mexico music,6
926,bow pop,6
927,deep acoustic pop,1
928, la pop,2
929, transpop,1
930,dirty texas rap,1
931, swedish synthpop,7
932, classic soundtrack,3
933,chicano punk,4
934,deep classic garage rock,1
935,pop punk,8
936,canadian post-rock,1
937, post-rock,2
938,"""childrens music""",9
939,electronicore,1
940, post-post-hardcore,1
941, post-screamo,2
942, brooklyn indie,2
943, nyc pop,2
944, vapor soul,4
945, australian electropop,4
946, australian indie,4
947,country gospel,4
948, gothenburg indie,2
949, swedish indie pop,1
950, swedish singer-songwriter,1
951,dublin indie,9
952, birmingham metal,7
953, italo house,3
954, vintage french electronic,2
955, progressive jazz fusion,4
956,canadian punk,1
957, vancouver punk,1
958, neo-psychedelic,8
959, nu gaze,9
960,wind ensemble,2
961, scottish rock,10
962, anti-folk,21
963,power pop,3
964, british folk,16
965, scottish singer-songwriter,18
966,alaska indie,8
967,destroy techno,1
968,desi hip hop,2
969, desi pop,3
970,viral trap,3
971, british soul,5
972,antiviral pop,13
